x,y
0.105,-0.002
0.105,-0.002
0.106,-0.058
0.106,-0.062
0.106,-0.147
0.106,-0.15
0.107,-0.118
0.107,-0.113
0.107,-0.005
0.107,0
0.108,0.08
0.108,0.082
0.108,0.09
0.108,0.08
0.109,0.047
0.109,0.047
0.109,0.03
0.11,0.03
0.11,0.023
0.11,0.025
0.11,0.022
0.111,0.02
0.111,0.028
0.111,0.028
0.111,0.033
0.112,0.032
0.112,0.037
0.112,0.037
0.112,0.055
0.113,0.07
0.113,0.052
0.113,0.002
0.113,0.153
0.114,0.263
0.114,-0.025
0.114,0.218
0.114,-0.195
0.115,-0.212
0.115,-0.267
0.115,-0.265
0.115,-0.117
0.116,-0.113
0.116,-0.065
0.116,-0.063
0.116,-0.048
0.117,-0.048
0.117,-0.038
0.117,-0.038
0.117,-0.045
0.117,-0.045
0.118,-0.04
0.118,-0.045
0.118,-0.047
0.118,-0.045
0.119,-0.038
0.119,-0.038
0.119,-0.028
0.119,-0.03
0.12,-0.023
0.12,-0.023
0.12,-0.02
0.12,-0.02
0.121,-0.017
0.121,-0.018
0.121,-0.022
0.121,-0.022
0.122,-0.018
0.122,-0.018
0.122,-0.01
0.122,-0.008
0.123,-0.003
0.123,-0.002
0.123,0.008
0.123,0.008
0.124,0.022
0.124,0.022
0.124,0.027
0.124,0.027
0.125,0.013
0.125,0.013
0.125,-0.017
0.126,-0.018
0.126,-0.048
0.126,-0.048
0.126,-0.065
0.127,-0.067
0.127,-0.062
0.127,-0.06
0.127,-0.047
0.128,-0.047
0.128,-0.04
0.128,-0.04
0.128,-0.038
0.129,-0.04
0.129,-0.045
0.129,-0.043
0.129,-0.047
0.13,-0.047
0.13,-0.043
0.13,-0.042
0.13,-0.037
0.131,-0.037
0.131,-0.03
0.131,-0.03
0.131,-0.027
0.132,-0.027
0.132,-0.02
0.132,-0.02
0.132,-0.015
0.133,-0.017
0.133,-0.012
0.133,-0.012
0.133,-0.017
0.134,-0.017
0.134,-0.018
0.134,-0.017
0.134,-0.027
0.135,-0.027
0.135,-0.033
0.135,-0.033
0.135,-0.04
0.136,-0.04
0.136,-0.045
0.136,-0.043
0.136,-0.047
0.137,-0.047
0.137,-0.05
0.137,-0.05
0.137,-0.047
0.138,-0.047
0.138,-0.038
0.138,-0.038
0.138,-0.028
0.139,-0.028
0.139,-0.023
0.139,-0.023
0.139,-0.027
0.14,-0.023
0.14,-0.022
0.14,-0.023
0.14,-0.02
0.141,-0.022
0.141,-0.018
0.141,-0.018
0.141,-0.017
0.141,-0.018
0.142,-0.022
0.142,-0.022
0.142,-0.028
0.142,-0.025
0.143,-0.015
0.143,-0.013
0.143,-0.007
0.143,-0.005
0.144,0
0.144,0
0.144,0.007
0.144,0.007
0.145,0.018
0.145,0.017
0.145,0.032
0.145,0.033
0.146,0.052
0.146,0.053
0.146,0.082
0.146,0.083
0.147,0.128
0.147,0.132
0.147,0.175
0.147,0.195
0.148,0.063
0.148,0.05
0.148,-0.04
0.148,0.037
0.149,0.083
0.149,0.08
0.149,0.123
0.149,0.125
0.15,0.142
0.15,0.135
0.15,0.083
0.15,0.08
0.151,0.005
0.151,0.003
0.151,-0.052
0.151,-0.052
0.152,-0.08
0.152,-0.08
0.152,-0.1
0.152,-0.1
0.153,-0.107
0.153,-0.107
0.153,-0.11
0.153,-0.108
0.154,-0.102
0.154,-0.102
0.154,-0.095
0.154,-0.095
0.155,-0.083
0.155,-0.083
0.155,-0.073
0.155,-0.073
0.156,-0.058
0.156,-0.057
0.156,-0.033
0.157,-0.032
0.157,-0.017
0.157,-0.017
0.157,-0.025
0.158,-0.025
0.158,-0.033
0.158,-0.033
0.158,-0.038
0.159,-0.038
0.159,-0.043
0.159,-0.043
0.159,-0.038
0.16,-0.038
0.16,-0.038
0.16,-0.035
0.16,-0.037
0.161,-0.03
0.161,-0.03
0.161,-0.023
0.161,-0.025
0.162,-0.02
0.162,-0.02
0.162,-0.015
0.162,-0.015
0.163,-0.008
0.163,-0.01
0.163,-0.005
0.163,-0.007
0.164,-0.003
0.164,-0.005
0.164,-0.003
0.164,-0.005
0.165,-0.01
0.165,-0.007
0.165,-0.01
0.165,-0.007
0.166,-0.002
0.166,-0.003
0.166,0.002
0.166,0.002
0.167,0
0.167,0.002
0.167,0.008
0.167,0.008
0.168,0.015
0.168,0.015
0.168,0.02
0.168,0.02
0.169,0.03
0.169,0.03
0.169,0.038
0.169,0.038
0.17,0.048
0.17,0.05
0.17,0.065
0.17,0.067
0.171,0.122
0.171,0.148
0.171,-0.035
0.171,-0.057
0.172,-0.04
0.172,-0.038
0.172,-0.008
0.172,-0.007
0.172,0.007
0.173,0.007
0.173,0.012
0.173,0.01
0.173,0.012
0.174,0.012
0.174,0.007
0.174,0.007
0.174,0.01
0.175,0.01
0.175,0.017
0.175,0.018
0.175,0.022
0.176,0.022
0.176,0.018
0.176,0.023
0.176,0.027
0.177,0.025
0.177,0.028
0.177,0.027
0.177,0.03
0.178,0.03
0.178,0.038
0.178,0.038
0.178,0.05
0.179,0.05
0.179,0.058
0.179,0.06
0.179,0.063
0.18,0.062
0.18,0.057
0.18,0.058
0.18,0.053
0.181,0.055
0.181,0.047
0.181,0.047
0.181,0.043
0.182,0.045
0.182,0.037
0.182,0.037
0.182,0.032
0.183,0.03
0.183,0.022
0.183,0.022
0.183,0.028
0.184,0.028
0.184,0.032
0.184,0.03
0.184,0.033
0.185,0.03
0.185,0.033
0.185,0.033
0.185,0.038
0.186,0.038
0.186,0.047
0.186,0.047
0.186,0.053
0.187,0.055
0.187,0.063
0.187,0.065
0.188,0.078
0.188,0.08
0.188,0.075
0.188,0.077
0.189,0.085
0.189,0.085
0.189,0.075
0.189,0.073
0.19,0.055
0.19,0.055
0.19,0.032
0.19,0.03
0.191,0.017
0.191,0.015
0.191,-0.063
0.191,-0.078
0.192,-0.057
0.192,-0.055
0.192,-0.03
0.192,-0.03
0.193,0.013
0.193,0.015
0.193,0.08
0.193,0.08
0.194,0.097
0.194,0.098
0.194,0.08
0.194,0.078
0.195,0.045
0.195,0.043
0.195,0.025
0.195,0.023
0.196,0.017
0.196,0.017
0.196,0.013
0.196,0.015
0.197,0
0.197,-0.002
0.197,-0.018
0.197,-0.023
0.198,-0.002
0.198,0.002
0.198,0.097
0.198,0.1
0.199,0.15
0.199,0.152
0.199,0.168
0.199,0.167
0.2,0.097
0.2,0.352
0.2,0.072
0.2,0.067
0.201,0.335
0.201,0.137
0.201,-0.148
0.201,-0.205
0.202,-0.148
0.202,-0.145
0.202,-0.07
0.202,-0.067
0.203,-0.03
0.203,-0.028
0.203,-0.013
0.203,-0.013
0.203,-0.002
0.204,-0.002
0.204,0.007
0.204,0.007
0.204,0.003
0.205,0.005
0.205,-0.005
0.205,-0.007
0.205,-0.015
0.206,-0.015
0.206,-0.008
0.206,-0.01
0.206,-0.005
0.207,-0.005
0.207,-0.003
0.207,-0.003
0.207,-0.007
0.208,-0.007
0.208,-0.018
0.208,-0.02
0.208,-0.045
0.209,-0.045
0.209,-0.062
0.209,-0.062
0.209,-0.068
0.21,-0.068
0.21,-0.072
0.21,-0.07
0.21,-0.073
0.211,-0.073
0.211,-0.087
0.211,-0.087
0.211,-0.095
0.212,-0.095
0.212,-0.102
0.212,-0.102
0.212,-0.107
0.213,-0.107
0.213,-0.11
0.213,-0.108
0.213,-0.112
0.214,-0.113
0.214,-0.11
0.214,-0.108
0.214,-0.098
0.215,-0.097
0.215,-0.085
0.215,-0.085
0.215,-0.092
0.216,-0.092
0.216,-0.103
0.216,-0.103
0.216,-0.123
0.217,-0.125
0.217,-0.138
0.217,-0.138
0.217,-0.145
0.218,-0.143
0.218,-0.15
0.218,-0.15
0.218,-0.167
0.219,-0.168
0.219,-0.198
0.219,-0.2
0.22,-0.233
0.22,-0.233
0.22,-0.258
0.22,-0.26
0.221,-0.272
0.221,-0.273
0.221,-0.27
0.221,-0.272
0.222,-0.267
0.222,-0.27
0.222,-0.267
0.222,-0.267
0.223,-0.263
0.223,-0.265
0.223,-0.268
0.223,-0.268
0.224,-0.262
0.224,-0.262
0.224,-0.255
0.224,-0.257
0.225,-0.247
0.225,-0.248
0.225,-0.243
0.225,-0.243
0.226,-0.235
0.226,-0.235
0.226,-0.225
0.226,-0.225
0.227,-0.208
0.227,-0.208
0.227,-0.195
0.227,-0.193
0.228,-0.17
0.228,-0.168
0.228,-0.137
0.228,-0.137
0.229,-0.098
0.229,-0.098
0.229,-0.053
0.229,-0.052
0.23,-0.013
0.23,-0.013
0.23,0.007
0.23,0.007
0.231,0.013
0.231,0.013
0.231,0.022
0.231,0.018
0.232,0.023
0.232,0.023
0.232,0.028
0.232,0.028
0.233,0.035
0.233,0.033
0.233,0.042
0.233,0.042
0.234,0.048
0.234,0.048
0.234,0.053
0.234,0.053
0.234,0.058
0.235,0.058
0.235,0.068
0.235,0.068
0.235,0.073
0.236,0.073
0.236,0.078
0.236,0.08
0.236,0.087
0.237,0.087
0.237,0.092
0.237,0.092
0.237,0.093
0.238,0.092
0.238,0.093
0.238,0.092
0.238,0.097
0.239,0.097
0.239,0.105
0.239,0.105
0.239,0.115
0.24,0.113
0.24,0.128
0.24,0.128
0.24,0.142
0.241,0.142
0.241,0.152
0.241,0.152
0.241,0.158
0.242,0.158
0.242,0.163
0.242,0.165
0.242,0.16
0.243,0.158
0.243,0.165
0.243,0.165
0.243,0.17
0.244,0.17
0.244,0.175
0.244,0.177
0.244,0.185
0.245,0.185
0.245,0.19
0.245,0.188
0.245,0.197
0.246,0.197
0.246,0.215
0.246,0.217
0.246,0.237
0.247,0.238
0.247,0.272
0.247,0.273
0.247,0.34
0.248,0.34
0.248,0.385
0.248,0.367
0.248,0.087
0.249,0.077
0.249,0.117
0.249,0.09
0.249,0.17
0.25,0.1
0.25,0.175
0.25,0.255
0.251,0.257
0.251,0.267
0.251,0.263
0.251,0.225
0.252,0.222
0.252,0.178
0.252,0.178
0.252,0.152
0.253,0.152
0.253,0.142
0.253,0.14
0.253,0.133
0.254,0.135
0.254,0.13
0.254,0.13
0.254,0.127
0.255,0.127
0.255,0.122
0.255,0.123
0.255,0.12
0.256,0.12
0.256,0.122
0.256,0.123
0.256,0.12
0.257,0.122
0.257,0.117
0.257,0.118
0.257,0.12
0.258,0.118
0.258,0.12
0.258,0.12
0.258,0.117
0.259,0.117
0.259,0.112
0.259,0.112
0.259,0.108
0.26,0.108
0.26,0.103
0.26,0.105
0.26,0.102
0.261,0.105
0.261,0.113
0.261,0.113
0.261,0.123
0.262,0.123
0.262,0.132
0.262,0.132
0.262,0.133
0.263,0.133
0.263,0.137
0.263,0.135
0.263,0.133
0.264,0.135
0.264,0.132
0.264,0.133
0.264,0.123
0.265,0.123
0.265,0.115
0.265,0.115
0.265,0.097
0.266,0.097
0.266,0.087
0.266,0.085
0.266,0.077
0.267,0.077
0.267,0.072
0.267,0.073
0.267,0.075
0.268,0.075
0.268,0.08
0.268,0.08
0.268,0.083
0.269,0.083
0.269,0.082
0.269,0.082
0.269,0.078
0.27,0.08
0.27,0.075
0.27,0.075
0.27,0.072
0.271,0.072
0.271,0.067
0.271,0.067
0.271,0.07
0.272,0.065
0.272,0.063
0.272,0.063
0.272,0.062
0.273,0.062
0.273,0.065
0.273,0.065
0.273,0.06
0.274,0.06
0.274,0.052
0.274,0.053
0.274,0.048
0.275,0.048
0.275,0.047
0.275,0.05
0.275,0.047
0.276,0.048
0.276,0.045
0.276,0.048
0.276,0.043
0.277,0.045
0.277,0.04
0.277,0.042
0.277,0.038
0.278,0.038
0.278,0.042
0.278,0.04
0.278,0.045
0.279,0.047
0.279,0.053
0.279,0.053
0.279,0.077
0.28,0.078
0.28,0.143
0.28,0.145
0.28,-0.028
0.281,-0.025
0.281,0.012
0.281,0.013
0.281,0.033
0.281,0.035
0.282,0.038
0.282,0.038
0.282,0.028
0.282,0.027
0.283,0.023
0.283,0.022
0.283,0.027
0.283,0.027
0.284,0.032
0.284,0.032
0.284,0.033
0.284,0.033
0.285,0.028
0.285,0.03
0.285,0.027
0.285,0.027
0.286,0.018
0.286,0.018
0.286,0.008
0.286,0.008
0.287,-0.002
0.287,-0.002
0.287,-0.042
0.287,-0.045
0.288,-0.123
0.288,-0.127
0.288,-0.142
0.288,-0.135
0.289,-0.028
0.289,-0.025
0.289,0.057
0.289,0.058
0.29,0.078
0.29,0.075
0.29,0.045
0.29,0.045
0.291,0.022
0.291,0.02
0.291,0.01
0.291,0.01
0.292,0.005
0.292,0.005
0.292,0.007
0.292,0.008
0.293,0.013
0.293,0.015
0.293,0.018
0.293,0.017
0.294,0.02
0.294,0.02
0.294,0.025
0.294,0.025
0.295,0.018
0.295,0.017
0.295,0.007
0.295,0.005
0.296,-0.003
0.296,-0.003
0.296,0.002
0.296,0.002
0.297,0.013
0.297,0.013
0.297,0.02
0.297,0.02
0.298,0.037
0.298,0.037
0.298,0.065
0.298,0.067
0.299,0.09
0.299,0.08
0.299,0.017
0.299,0.03
0.3,0.218
0.3,0.013
0.3,0.227
0.3,0.202
0.301,-0.175
0.301,-0.182
0.301,-0.258
0.301,-0.223
0.302,-0.1
0.302,-0.095
0.302,-0.043
0.302,-0.042
0.303,-0.05
0.303,-0.053
0.303,-0.042
0.303,-0.042
0.304,-0.028
0.304,-0.028
0.304,-0.035
0.304,-0.032
0.305,-0.038
0.305,-0.038
0.305,-0.033
0.305,-0.033
0.306,-0.025
0.306,-0.023
0.306,-0.022
0.306,-0.022
0.307,-0.033
0.307,-0.033
0.307,-0.028
0.307,-0.027
0.308,-0.022
0.308,-0.025
0.308,-0.018
0.308,-0.022
0.309,-0.027
0.309,-0.022
0.309,-0.032
0.309,-0.033
0.31,-0.102
0.31,-0.12
0.31,-0.08
0.31,-0.077
0.311,0.02
0.311,0.022
0.311,0.048
0.311,0.047
0.312,0.013
0.312,0.012
0.312,-0.015
0.312,-0.015
0.313,-0.032
0.313,-0.032
0.313,-0.04
0.314,-0.04
0.314,-0.047
0.314,-0.045
0.314,-0.047
0.315,-0.045
0.315,-0.037
0.315,-0.037
0.315,-0.027
0.316,-0.027
0.316,-0.015
0.316,-0.015
0.316,-0.007
0.317,-0.007
0.317,-0.002
0.317,-0.003
0.317,0.002
0.318,-0.003
0.318,-0.01
0.318,-0.012
0.318,-0.018
0.319,-0.018
0.319,-0.023
0.319,-0.023
0.319,-0.025
0.32,-0.025
0.32,-0.032
0.32,-0.032
0.32,-0.04
0.321,-0.04
0.321,-0.043
0.321,-0.042
0.321,-0.037
0.322,-0.038
0.322,-0.028
0.322,-0.027
0.322,-0.018
0.323,-0.018
0.323,-0.012
0.323,-0.01
0.323,-0.015
0.324,-0.017
0.324,-0.035
0.324,-0.037
0.324,-0.057
0.325,-0.057
0.325,-0.067
0.325,-0.068
0.325,-0.06
0.326,-0.058
0.326,-0.047
0.326,-0.048
0.326,-0.042
0.327,-0.043
0.327,-0.042
0.327,-0.043
0.327,-0.033
0.328,-0.033
0.328,-0.022
0.328,-0.022
0.328,-0.01
0.329,-0.008
0.329,-0.013
0.329,-0.013
0.329,-0.017
0.33,-0.017
0.33,-0.03
0.33,-0.032
0.33,-0.035
0.331,-0.033
0.331,-0.03
0.331,-0.028
0.331,-0.025
0.332,-0.025
0.332,-0.03
0.332,-0.027
0.332,-0.038
0.333,-0.037
0.333,-0.047
0.333,-0.047
0.333,-0.052
0.334,-0.05
0.334,-0.053
0.334,-0.052
0.334,-0.043
0.335,-0.043
0.335,-0.035
0.335,-0.035
0.335,-0.028
0.336,-0.028
0.336,-0.025
0.336,-0.027
0.336,-0.03
0.337,-0.03
0.337,-0.027
0.337,-0.028
0.337,-0.028
0.338,-0.028
0.338,-0.033
0.338,-0.03
0.338,-0.033
0.339,-0.033
0.339,-0.038
0.339,-0.038
0.339,-0.043
0.34,-0.042
0.34,-0.045
0.34,-0.043
0.34,-0.04
0.341,-0.04
0.341,-0.037
0.341,-0.035
0.341,-0.038
0.342,-0.038
0.342,-0.043
0.342,-0.043
0.342,-0.05
0.343,-0.048
0.343,-0.058
0.343,-0.058
0.343,-0.065
0.344,-0.065
0.344,-0.068
0.344,-0.068
0.344,-0.063
0.344,-0.063
0.345,-0.057
0.345,-0.057
0.345,-0.055
0.345,-0.055
0.346,-0.057
0.346,-0.057
0.346,-0.055
0.346,-0.055
0.347,-0.058
0.347,-0.058
0.347,-0.058
0.347,-0.057
0.348,-0.06
0.348,-0.058
0.348,-0.06
0.348,-0.058
0.349,-0.062
0.349,-0.058
0.349,-0.06
0.349,-0.058
0.35,-0.057
0.35,-0.058
0.35,-0.062
0.35,-0.06
0.351,-0.052
0.351,-0.05
0.351,-0.038
0.351,-0.038
0.352,-0.027
0.352,-0.027
0.352,-0.02
0.352,-0.018
0.353,-0.008
0.353,-0.008
0.353,0.003
0.353,0.003
0.354,0.015
0.354,0.015
0.354,0.032
0.354,0.033
0.355,0.068
0.355,0.072
0.355,0.122
0.355,0.152
0.356,0.042
0.356,0.027
0.356,-0.128
0.356,-0.07
0.357,-0.107
0.357,-0.085
0.357,0.002
0.357,0.005
0.358,0.057
0.358,0.057
0.358,0.03
0.358,0.028
0.359,-0.02
0.359,-0.022
0.359,-0.09
0.359,-0.095
0.36,-0.197
0.36,-0.2
0.36,-0.237
0.36,-0.233
0.361,-0.133
0.361,-0.128
0.361,-0.04
0.361,-0.037
0.362,0.02
0.362,0.022
0.362,0.047
0.362,0.05
0.363,-0.152
0.363,-0.155
0.363,-0.13
0.363,-0.128
0.364,-0.093
0.364,-0.092
0.364,-0.07
0.364,-0.068
0.365,-0.058
0.365,-0.057
0.365,-0.048
0.365,-0.048
0.366,-0.035
0.366,-0.033
0.366,-0.018
0.366,-0.018
0.367,-0.007
0.367,-0.007
0.367,-0.002
0.367,-0.007
0.368,-0.013
0.368,-0.013
0.368,-0.02
0.368,-0.02
0.369,-0.03
0.369,-0.03
0.369,-0.037
0.369,-0.037
0.37,-0.04
0.37,-0.043
0.37,-0.037
0.37,-0.037
0.371,-0.03
0.371,-0.032
0.371,-0.027
0.371,-0.028
0.372,-0.025
0.372,-0.027
0.372,-0.023
0.372,-0.025
0.373,-0.023
0.373,-0.023
0.373,-0.02
0.373,-0.018
0.374,-0.012
0.374,-0.01
0.374,-0.017
0.374,-0.018
0.375,-0.06
0.375,-0.062
0.375,-0.102
0.376,-0.103
0.376,-0.05
0.376,-0.047
0.376,0.013
0.377,0.02
0.377,0.013
0.377,0.008
0.377,0.015
0.378,0.017
0.378,0.028
0.378,0.03
0.378,0.05
0.379,0.05
0.379,0.07
0.379,0.03
0.379,0.13
0.38,0.187
0.38,-0.04
0.38,0.207
0.38,-0.075
0.381,-0.1
0.381,-0.167
0.381,-0.182
0.381,-0.1
0.382,-0.097
0.382,-0.042
0.382,-0.04
0.382,-0.032
0.383,-0.03
0.383,-0.023
0.383,-0.023
0.383,-0.008
0.384,-0.007
0.384,0.007
0.384,0.008
0.384,0.012
0.385,0.012
0.385,0.018
0.385,0.02
0.385,0.015
0.386,0.015
0.386,0.008
0.386,0.01
0.386,0.005
0.387,0.007
0.387,0.002
0.387,0.002
0.387,-0.017
0.388,-0.017
0.388,-0.033
0.388,-0.033
0.388,-0.038
0.389,-0.035
0.389,-0.038
0.389,-0.037
0.389,-0.033
0.39,-0.035
0.39,-0.028
0.39,-0.028
0.39,-0.022
0.391,-0.023
0.391,-0.018
0.391,-0.018
0.391,-0.013
0.392,-0.015
0.392,-0.01
0.392,-0.008
0.392,-0.012
0.393,-0.01
0.393,-0.007
0.393,-0.007
0.393,-0.01
0.394,-0.007
0.394,-0.008
0.394,-0.007
0.394,-0.008
0.395,-0.008
0.395,-0.017
0.395,-0.017
0.395,-0.023
0.396,-0.025
0.396,-0.032
0.396,-0.03
0.396,-0.028
0.397,-0.03
0.397,-0.033
0.397,-0.033
0.397,-0.028
0.398,-0.03
0.398,-0.025
0.398,-0.025
0.398,-0.027
0.399,-0.025
0.399,-0.028
0.399,-0.025
0.399,-0.028
0.4,-0.028
0.4,-0.032
0.4,-0.032
0.4,-0.027
0.401,-0.027
0.401,-0.017
0.401,-0.017
0.401,-0.005
0.402,-0.005
0.402,0.007
0.402,0.007
0.402,0.022
0.403,0.023
0.403,0.035
0.403,0.035
0.403,0.028
0.404,0.027
0.404,0.02
0.404,0.022
0.404,0.017
0.405,0.017
0.405,0.012
0.405,0.01
0.405,0.007
0.406,0.008
0.406,0.012
0.406,0.01
0.406,0.008
0.406,0.008
0.407,0.005
0.407,0.005
0.407,0.008
0.407,0.008
0.408,0.007
0.408,0.007
0.408,0.003
0.408,0.005
0.409,0.003
0.409,0.003
0.409,-0.002
0.409,-0.002
0.41,0.002
